Name,Abbrevation,Type,Level,Context
Europäischer Gerichtshof für Menschenrechte,EGMR,Verfassungsgerichtsbarkeit,Europäisches Gericht,EU
Bundesverfassungsgericht,BVerfG,Verfassungsgerichtsbarkeit,Verfassungsgericht,Bund
Verfassungsgerichtshof für das Land Baden-Württemberg,VfGH Baden-Württemberg,Verfassungsgerichtsbarkeit,Landesverfassungsgericht,Baden-Württemberg
Bayerischer Verfassungsgerichtshof,VfGH Bayern,Verfassungsgerichtsbarkeit,Landesverfassungsgericht,Bayern
Verfassungsgerichtshof des Landes Berlin,VfGH Berlin,Verfassungsgerichtsbarkeit,Landesverfassungsgericht,Berlin
Verfassungsgericht des Landes Brandenburg,VerfG Brandenburg,Verfassungsgerichtsbarkeit,Landesverfassungsgericht,Brandenburg
Staatsgerichtshof der Freien Hansestadt Bremen,StGH Bremen,Verfassungsgerichtsbarkeit,Landesverfassungsgericht,Bremen
Hamburgisches Verfassungsgericht,VerfG Hamburg,Verfassungsgerichtsbarkeit,Landesverfassungsgericht,Hamburg
Staatsgerichtshof des Landes Hessen,StGH Hessen,Verfassungsgerichtsbarkeit,Landesverfassungsgericht,Hessen
Landesverfassungsgericht Mecklenburg-Vorpommern,LVerfG Mecklenburg-Vorpommern,Verfassungsgerichtsbarkeit,Landesverfassungsgericht,Mecklenburg-Vorpommern
Niedersächsischer Staatsgerichtshof,StGH Niedersachsen,Verfassungsgerichtsbarkeit,Landesverfassungsgericht,Niedersachsen
Verfassungsgerichtshof für das Land Nordrhein-Westfalen,VfGH NRW,Verfassungsgerichtsbarkeit,Landesverfassungsgericht,Nordrhein-Westfalen
Verfassungsgerichtshof Rheinland-Pfalz,VfGH Rheinland-Pfalz,Verfassungsgerichtsbarkeit,Landesverfassungsgericht,Rheinland-Pfalz
Verfassungsgerichtshof des Saarlandes,VfGH Saarland,Verfassungsgerichtsbarkeit,Landesverfassungsgericht,Saarland
Verfassungsgerichtshof des Freistaates Sachsen,VfGH Sachsen,Verfassungsgerichtsbarkeit,Landesverfassungsgericht,Sachsen
Landesverfassungsgericht Sachsen-Anhalt,LverfG Sachsen-Anhalt,Verfassungsgerichtsbarkeit,Landesverfassungsgericht,Sachsen-Anhalt
Schleswig-Holsteinisches Landesverfassungsgericht,VerfG Schleswig-Holstein,Verfassungsgerichtsbarkeit,Landesverfassungsgericht,Schleswig-Holstein
Thüringer Verfassungsgerichtshof,VfGH Thüringen,Verfassungsgerichtsbarkeit,Landesverfassungsgericht,Thüringen
Bundesgerichtshof,BGH,Ordentliche Gerichtsbarkeit,Oberster Gerichtshof des Bundes,Bund
Oberlandesgericht Karlsruhe,OLG Karlsruhe,Ordentliche Gerichtsbarkeit,Oberlandesgericht,Baden-Württemberg
Landgericht Baden-Baden,LG Baden-Baden,Ordentliche Gerichtsbarkeit,Landgericht,Baden-Württemberg
Amtsgericht Achern,AG Achern,Ordentliche Gerichtsbarkeit,Amtsgericht,Baden-Württemberg
Amtsgericht Baden-Baden,AG Baden-Baden,Ordentliche Gerichtsbarkeit,Amtsgericht,Baden-Württemberg
Amtsgericht Bühl,AG Bühl,Ordentliche Gerichtsbarkeit,Amtsgericht,Baden-Württemberg
Amtsgericht Gernsbach,AG Gernsbach,Ordentliche Gerichtsbarkeit,Amtsgericht,Baden-Württemberg
Amtsgericht Rastatt,AG Rastatt,Ordentliche Gerichtsbarkeit,Amtsgericht,Baden-Württemberg
Landgericht Freiburg,LG Freiburg,Ordentliche Gerichtsbarkeit,Landgericht,Baden-Württemberg
Amtsgericht Breisach,AG Breisach,Ordentliche Gerichtsbarkeit,Amtsgericht,Baden-Württemberg
Amtsgericht Emmendingen,AG Emmendingen,Ordentliche Gerichtsbarkeit,Amtsgericht,Baden-Württemberg
Amtsgericht Ettenheim,AG Ettenheim,Ordentliche Gerichtsbarkeit,Amtsgericht,Baden-Württemberg
Amtsgericht Freiburg im Breisgau,AG Freiburg im Breisgau,Ordentliche Gerichtsbarkeit,Amtsgericht,Baden-Württemberg
Amtsgericht Kenzingen,AG Kenzingen,Ordentliche Gerichtsbarkeit,Amtsgericht,Baden-Württemberg
Amtsgericht Lörrach,AG Lörrach,Ordentliche Gerichtsbarkeit,Amtsgericht,Baden-Württemberg
Amtsgericht Müllheim (Baden),AG Müllheim (Baden),Ordentliche Gerichtsbarkeit,Amtsgericht,Baden-Württemberg
Amtsgericht Staufen im Breisgau,AG Staufen im Breisgau,Ordentliche Gerichtsbarkeit,Amtsgericht,Baden-Württemberg
Amtsgericht Titisee-Neustadt,AG Titisee-Neustadt,Ordentliche Gerichtsbarkeit,Amtsgericht,Baden-Württemberg
Amtsgericht Waldkirch,AG Waldkirch,Ordentliche Gerichtsbarkeit,Amtsgericht,Baden-Württemberg
Landgericht Heidelberg,LG Heidelberg,Ordentliche Gerichtsbarkeit,Landgericht,Baden-Württemberg
Amtsgericht Heidelberg,AG Heidelberg,Ordentliche Gerichtsbarkeit,Amtsgericht,Baden-Württemberg
Amtsgericht Sinsheim,AG Sinsheim,Ordentliche Gerichtsbarkeit,Amtsgericht,Baden-Württemberg
Amtsgericht Wiesloch,AG Wiesloch,Ordentliche Gerichtsbarkeit,Amtsgericht,Baden-Württemberg
Landgericht Karlsruhe,LG Karlsruhe,Ordentliche Gerichtsbarkeit,Landgericht,Baden-Württemberg
Amtsgericht Bretten,AG Bretten,Ordentliche Gerichtsbarkeit,Amtsgericht,Baden-Württemberg
Amtsgericht Bruchsal,AG Bruchsal,Ordentliche Gerichtsbarkeit,Amtsgericht,Baden-Württemberg
Amtsgericht Ettlingen,AG Ettlingen,Ordentliche Gerichtsbarkeit,Amtsgericht,Baden-Württemberg
Amtsgericht Karlsruhe,AG Karlsruhe,Ordentliche Gerichtsbarkeit,Amtsgericht,Baden-Württemberg
Amtsgericht Karlsruhe-Durlach,AG Karlsruhe-Durlach,Ordentliche Gerichtsbarkeit,Amtsgericht,Baden-Württemberg
Amtsgericht Maulbronn,AG Maulbronn,Ordentliche Gerichtsbarkeit,Amtsgericht,Baden-Württemberg
Amtsgericht Pforzheim,AG Pforzheim,Ordentliche Gerichtsbarkeit,Amtsgericht,Baden-Württemberg
Amtsgericht Philippsburg,AG Philippsburg,Ordentliche Gerichtsbarkeit,Amtsgericht,Baden-Württemberg
Landgericht Konstanz,LG Konstanz,Ordentliche Gerichtsbarkeit,Landgericht,Baden-Württemberg
Amtsgericht Donaueschingen,AG Donaueschingen,Ordentliche Gerichtsbarkeit,Amtsgericht,Baden-Württemberg
Amtsgericht Konstanz,AG Konstanz,Ordentliche Gerichtsbarkeit,Amtsgericht,Baden-Württemberg
Amtsgericht Radolfzell,AG Radolfzell,Ordentliche Gerichtsbarkeit,Amtsgericht,Baden-Württemberg
Amtsgericht Singen (Hohentwiel),AG Singen (Hohentwiel),Ordentliche Gerichtsbarkeit,Amtsgericht,Baden-Württemberg
Amtsgericht Stockach,AG Stockach,Ordentliche Gerichtsbarkeit,Amtsgericht,Baden-Württemberg
Amtsgericht Überlingen,AG Überlingen,Ordentliche Gerichtsbarkeit,Amtsgericht,Baden-Württemberg
Amtsgericht Villingen-Schwenningen,AG Villingen-Schwenningen,Ordentliche Gerichtsbarkeit,Amtsgericht,Baden-Württemberg
Landgericht Mannheim,LG Mannheim,Ordentliche Gerichtsbarkeit,Landgericht,Baden-Württemberg
Amtsgericht Mannheim,AG Mannheim,Ordentliche Gerichtsbarkeit,Amtsgericht,Baden-Württemberg
Amtsgericht Schwetzingen,AG Schwetzingen,Ordentliche Gerichtsbarkeit,Amtsgericht,Baden-Württemberg
Amtsgericht Weinheim,AG Weinheim,Ordentliche Gerichtsbarkeit,Amtsgericht,Baden-Württemberg
Landgericht Mosbach,LG Mosbach,Ordentliche Gerichtsbarkeit,Landgericht,Baden-Württemberg
Amtsgericht Adelsheim,AG Adelsheim,Ordentliche Gerichtsbarkeit,Amtsgericht,Baden-Württemberg
Amtsgericht Buchen (Odenwald),AG Buchen (Odenwald),Ordentliche Gerichtsbarkeit,Amtsgericht,Baden-Württemberg
Amtsgericht Mosbach,AG Mosbach,Ordentliche Gerichtsbarkeit,Amtsgericht,Baden-Württemberg
Amtsgericht Tauberbischofsheim,AG Tauberbischofsheim,Ordentliche Gerichtsbarkeit,Amtsgericht,Baden-Württemberg
Amtsgericht Wertheim,AG Wertheim,Ordentliche Gerichtsbarkeit,Amtsgericht,Baden-Württemberg
Landgericht Offenburg,LG Offenburg,Ordentliche Gerichtsbarkeit,Landgericht,Baden-Württemberg
Amtsgericht Gengenbach,AG Gengenbach,Ordentliche Gerichtsbarkeit,Amtsgericht,Baden-Württemberg
Amtsgericht Kehl,AG Kehl,Ordentliche Gerichtsbarkeit,Amtsgericht,Baden-Württemberg
Amtsgericht Lahr,AG Lahr,Ordentliche Gerichtsbarkeit,Amtsgericht,Baden-Württemberg
Amtsgericht Oberkirch,AG Oberkirch,Ordentliche Gerichtsbarkeit,Amtsgericht,Baden-Württemberg
Amtsgericht Offenburg,AG Offenburg,Ordentliche Gerichtsbarkeit,Amtsgericht,Baden-Württemberg
Amtsgericht Wolfach,AG Wolfach,Ordentliche Gerichtsbarkeit,Amtsgericht,Baden-Württemberg
Landgericht Waldshut-Tiengen,LG Waldshut-Tiengen,Ordentliche Gerichtsbarkeit,Landgericht,Baden-Württemberg
Amtsgericht Bad Säckingen,AG Bad Säckingen,Ordentliche Gerichtsbarkeit,Amtsgericht,Baden-Württemberg
Amtsgericht St. Blasien,AG St. Blasien,Ordentliche Gerichtsbarkeit,Amtsgericht,Baden-Württemberg
Amtsgericht Schönau,AG Schönau,Ordentliche Gerichtsbarkeit,Amtsgericht,Baden-Württemberg
Amtsgericht Schopfheim,AG Schopfheim,Ordentliche Gerichtsbarkeit,Amtsgericht,Baden-Württemberg
Amtsgericht Waldshut-Tiengen,AG Waldshut-Tiengen,Ordentliche Gerichtsbarkeit,Amtsgericht,Baden-Württemberg
Oberlandesgericht Stuttgart,OLG Stuttgart,Ordentliche Gerichtsbarkeit,Oberlandesgericht,Baden-Württemberg
Landgericht Ellwangen/Jagst,LG Ellwangen/Jagst,Ordentliche Gerichtsbarkeit,Landgericht,Baden-Württemberg
Amtsgericht Aalen,AG Aalen,Ordentliche Gerichtsbarkeit,Amtsgericht,Baden-Württemberg
Amtsgericht Bad Mergentheim,AG Bad Mergentheim,Ordentliche Gerichtsbarkeit,Amtsgericht,Baden-Württemberg
Amtsgericht Crailsheim,AG Crailsheim,Ordentliche Gerichtsbarkeit,Amtsgericht,Baden-Württemberg
Amtsgericht Ellwangen,AG Ellwangen,Ordentliche Gerichtsbarkeit,Amtsgericht,Baden-Württemberg
Amtsgericht Heidenheim an der Brenz,AG Heidenheim an der Brenz,Ordentliche Gerichtsbarkeit,Amtsgericht,Baden-Württemberg
Amtsgericht Langenburg,AG Langenburg,Ordentliche Gerichtsbarkeit,Amtsgericht,Baden-Württemberg
Amtsgericht Neresheim,AG Neresheim,Ordentliche Gerichtsbarkeit,Amtsgericht,Baden-Württemberg
